bird,filename,RAlesion,PNN_remov,song_when,intro_notes,harm_stacks,FM_sweeps,other,song_length
B58,B58_42590.33979641_8_8_9_26_19.wav,1,0,day 90,0,0,11,8,
B58,B58_42590.37273232_8_8_10_21_13.wav,1,0,day 90,0,0,12,9,
B58,B58_42590.37298680_8_8_10_21_38.wav,1,0,day 90,0,0,8,11,
B58,B58_42590.38285694_8_8_10_38_5.wav,1,0,day 90,0,0,9,17,
B58,B58_42590.38683608_8_8_10_44_43.wav,1,0,day 90,0,0,12,9,
O19,O19_42217.31298926_8_1_8_41_38.wav,0,1,prelesion,4,11,0,18,
O19,O19_42217.31468248_8_1_8_44_28.wav,0,1,prelesion,4,16,0,28,
O19,O19_42217.31483670_8_1_8_44_43.wav,0,1,prelesion,1,5,0,9,
O19,O19_42217.31500666_8_1_8_45_0.wav,0,1,prelesion,2,6,0,9,
O19,O19_42217.31655156_8_1_8_47_35.wav,0,1,prelesion,2,11,0,17,
O19,O19_42228.26410474_8_12_7_20_10.wav,0,1,preinjection,4,14,0,28,
O19,O19_42228.26429329_8_12_7_20_29.wav,0,1,preinjection,2,11,0,19,
O19,O19_42228.26709773_8_12_7_25_9_song1.wav,0,1,preinjection,2,5,0,9,
O19,O19_42228.26709773_8_12_7_25_9_song2.wav,0,1,preinjection,1,3,0,4,
O19,O19_42228.26999167_8_12_7_29_59.wav,0,1,preinjection,5,5,0,8,
O19,O19_42318.32119366_11_10_8_55_19.wav,0,1,day 90,4,5,0,8,
O19,O19_42318.32166524_11_10_8_56_6_song1.wav,0,1,day 90,3,6,0,9,
O19,O19_42318.32166524_11_10_8_56_6_song2.wav,0,1,day 90,1,3,0,4,
O19,O19_42318.32422546_11_10_9_0_22.wav,0,1,day 90,3,5,0,8,
O19,O19_42318.32583354_11_10_9_3_3.wav,0,1,day 90,4,6,0,9,
G40,G40_42365.26352920_12_27_7_19_12.wav,1,1,prelesion,3,1,6,0,
G40,G40_42365.26363171_12_27_7_19_23.wav,1,1,prelesion,2,0,9,3,
G40,G40_42365.26408034_12_27_7_20_8.wav,1,1,prelesion,4,1,13,4,
G40,G40_42365.26583025_12_27_7_23_3.wav,1,1,prelesion,4,0,17,6,
G40,G40_42365.26681051_12_27_7_24_41.wav,1,1,prelesion,2,1,21,7,
G40,G40_42382.25241913_1_13_7_0_41.wav,1,1,preinjection,3,8,11,3,
G40,G40_42382.25256959_1_13_7_0_56.wav,1,1,preinjection,3,6,17,6,
G40,G40_42382.25357270_1_13_7_2_37.wav,1,1,preinjection,4,3,15,3,
G40,G40_42382.25366536_1_13_7_2_46.wav,1,1,preinjection,2,2,36,6,
G40,G40_42382.25382262_1_13_7_3_2.wav,1,1,preinjection,2,3,11,3,
G40,G40_42472.25981611_4_12_7_13_1.wav,1,1,day 90,4,6,25,0,
G40,G40_42472.25996483_4_12_7_13_16.wav,1,1,day 90,3,8,32,0,
G40,G40_42472.26053463_4_12_7_14_13.wav,1,1,day 90,5,9,36,0,
G40,G40_42472.26596610_4_12_7_23_16.wav,1,1,day 90,5,6,29,0,
G40,G40_42472.27146375_4_12_7_32_26.wav,1,1,day 90,4,7,27,0,
G28,G28_42298.26526660_10_21_7_22_6.wav,0,2,prelesion,1,0,8,7,
